arm,step,epoch,val_HIT1_VG,val_R1_05,val_R1_07,val_mAP_avg,val_mAP_long,val_mAP_middle,val_mAP_short,train_loss
baseline,1937,34,68.25806427001953,66.58065032958984,47.54838943481445,41.116703033447266,48.6907958984375,42.7530632019043,7.951408386230469,17.58324432373047
baseline,1994,35,69.29032897949219,66.25806427001953,48.12903594970703,40.41444396972656,43.72073745727539,45.057315826416016,7.784177303314209,17.477397918701172
baseline,2051,36,70.19355010986328,67.29032135009766,49.67742156982422,42.170249938964844,50.27839660644531,45.08871078491211,5.639833927154541,17.426273345947266
baseline,2108,37,68.70967864990234,67.80644989013672,49.8709716796875,43.5438117980957,49.95543670654297,46.9555549621582,7.326650619506836,17.305667877197266
baseline,2165,38,69.16129302978516,69.35484313964844,51.8709716796875,43.782203674316406,50.92121505737305,46.189697265625,8.76165771484375,17.156681060791016
baseline,2222,39,68.32257843017578,67.16129302978516,50.06451416015625,44.807899475097656,52.24538803100586,47.54446792602539,8.345470428466797,17.033935546875
baseline,2279,40,71.16129302978516,68.90322875976562,51.35484313964844,45.04505920410156,55.42964172363281,46.48324966430664,6.9322123527526855,16.984310150146484
baseline,2336,41,70.96774291992188,70.00000762939453,54.51613235473633,46.5620231628418,51.42403793334961,51.64988708496094,8.72775936126709,16.941972732543945
baseline,2393,42,70.96774291992188,69.741943359375,52.12903594970703,44.56374740600586,52.401893615722656,46.65411376953125,8.921131134033203,16.840641021728516
baseline,2450,43,69.41935729980469,70.12903594970703,54.58064651489258,46.363712310791016,51.94652557373047,51.05805206298828,8.101240158081055,16.816158294677734
baseline,2507,44,69.48387908935547,69.67742156982422,53.161293029785156,46.53756332397461,51.08857345581055,50.38909149169922,10.431302070617676,16.743610382080078
baseline,2564,45,71.61290740966797,68.83870697021484,51.16129684448242,42.79451370239258,51.93872833251953,44.528221130371094,8.159472465515137,16.656129837036133
baseline,2621,46,70.58065032958984,68.70967864990234,50.129032135009766,41.99872970581055,40.26214599609375,50.281707763671875,9.165903091430664,16.654563903808594
baseline,2678,47,70.83871459960938,69.80645751953125,54.38710021972656,47.88808059692383,55.06877517700195,51.258262634277344,8.930644035339355,16.55401611328125
baseline,2735,48,70.90322875976562,69.0967788696289,52.70968246459961,46.65080642700195,55.61444854736328,48.73294448852539,8.442870140075684,16.440725326538086
baseline,2792,49,70.5161361694336,70.5161361694336,54.709678649902344,47.330535888671875,53.65972900390625,50.17500305175781,11.355781555175781,16.343984603881836
baseline,2849,50,72.0,68.12903594970703,53.35484313964844,45.84963607788086,47.93138885498047,50.718753814697266,12.780648231506348,16.27050018310547
baseline,2906,51,72.06452178955078,70.58065032958984,55.225807189941406,49.02542495727539,56.0439567565918,52.40673065185547,11.395002365112305,16.368709564208984
baseline,2963,52,72.12903594970703,71.93548583984375,55.41935729980469,48.41033935546875,54.30949783325195,51.99923324584961,11.250225067138672,16.201820373535156
baseline,3020,53,71.16129302978516,72.0,56.19355010986328,48.36542510986328,51.95616912841797,53.96134567260742,11.2180814743042,16.094820022583008
baseline,3077,54,71.8709716796875,70.96774291992188,55.29032516479492,49.12997817993164,53.718875885009766,53.12678146362305,12.520781517028809,15.995166778564453
baseline,3134,55,70.25807189941406,70.06452178955078,55.54838943481445,48.69435119628906,55.95828628540039,50.764305114746094,12.034512519836426,15.960389137268066
baseline,3191,56,72.12903594970703,69.61290740966797,55.161293029785156,49.29496765136719,53.82717514038086,53.56723403930664,12.176728248596191,15.844120025634766
baseline,3248,57,69.22581481933594,69.41935729980469,54.58064651489258,49.177608489990234,57.964595794677734,51.05598068237305,9.83961009979248,15.809823989868164
baseline,3305,58,69.80645751953125,70.32258605957031,55.6129035949707,48.52511215209961,54.56377029418945,51.43569564819336,12.724593162536621,15.706600189208984
baseline,3362,59,70.5161361694336,69.8709716796875,55.161293029785156,48.192176818847656,56.00497817993164,50.14689636230469,11.884516716003418,15.655423164367676
