epoch,train_total_loss,val_mAP_avg,val_R1_0.5,val_R1_0.7,val_HIT1_VeryGood,train_mAP_avg,train_R1_0.5
0,29.122314453125,25.31405258178711,51.74193954467773,26.64516258239746,57.16129684448242,,
1,18.3967227935791,45.82044219970703,68.70967864990234,53.41935729980469,70.83871459960938,,
2,16.40458869934082,51.31225204467773,72.12903594970703,57.8709716796875,72.58065032958984,,
3,15.84211254119873,53.00069808959961,72.25806427001953,59.03226089477539,73.35484313964844,,
4,15.598727226257324,54.610137939453125,73.48387145996094,60.38710021972656,73.48387145996094,,
5,15.396051406860352,55.40421295166016,73.67742156982422,60.06451797485352,72.7741928100586,53.187644958496094,72.44389343261719
6,15.205201148986816,55.45417785644531,73.74193572998047,59.096778869628906,74.25806427001953,,
7,15.023640632629396,56.01725387573242,74.38710021972656,60.645164489746094,75.48387908935547,,
8,14.833380699157717,56.53358840942383,74.38710021972656,60.51613235473633,74.6451644897461,,
9,14.725743293762209,56.71683883666992,73.41935729980469,60.00000381469727,74.12903594970703,,
10,14.415923118591309,56.79941177368164,74.25806427001953,60.38710021972656,75.41935729980469,60.27286911010742,79.06622314453125
11,14.311081886291504,58.253395080566406,74.7741928100586,61.41935729980469,74.06451416015625,,
12,14.140756607055664,57.43502807617188,74.45161437988281,61.09677505493164,75.03225708007812,,
13,14.126917839050291,57.52044677734375,74.12903594970703,61.6129035949707,74.6451644897461,,
14,14.039958953857422,57.32558059692383,74.45161437988281,60.51613235473633,74.45161437988281,,
15,14.013282775878906,57.93342590332031,74.6451644897461,62.06451797485352,74.45161437988281,63.18382263183594,82.474365234375
16,13.924118041992188,57.61683654785156,75.16129302978516,61.48387145996094,73.67742156982422,,
17,13.864155769348145,57.40935516357422,74.70967864990234,61.35483932495117,75.0967788696289,,
18,13.806461334228516,57.50943756103516,74.70967864990234,61.48387145996094,75.48387908935547,,
19,13.767043113708496,57.59326553344727,73.8709716796875,60.903228759765625,73.8709716796875,,
20,13.727381706237791,57.43992614746094,74.90322875976562,60.77419662475586,74.12903594970703,65.32351684570312,84.42781829833984
21,13.677708625793455,57.55784225463867,75.0967788696289,61.35483932495117,75.0967788696289,,
22,13.648821830749512,56.91473007202149,75.29032897949219,61.16129302978516,73.67742156982422,,
23,13.587833404541016,57.519813537597656,74.7741928100586,60.96774291992188,73.8709716796875,,
24,13.487668991088867,57.74301910400391,75.22581481933594,61.16129302978516,74.6451644897461,,
25,13.472637176513672,56.74259185791016,73.8709716796875,60.32258224487305,73.35484313964844,67.03472137451172,86.51980590820312
26,13.436402320861816,56.82310104370117,74.6451644897461,59.93548583984375,74.06451416015625,,
27,13.412721633911133,56.762474060058594,73.93548583984375,60.12903594970703,74.12903594970703,,
28,13.377790451049805,57.59402847290039,75.03225708007812,60.70967864990234,74.19355010986328,,
29,13.30834674835205,57.36539840698242,75.54839324951172,61.48387145996094,74.38710021972656,,
30,13.194396018981934,57.4618034362793,74.83870697021484,60.70967864990234,74.32257843017578,69.36901092529297,88.26544189453125
31,13.13248348236084,57.35503768920898,74.6451644897461,61.35483932495117,74.12903594970703,,
32,13.098464965820312,57.00982666015625,74.0,59.74193954467773,73.54838562011719,,
33,13.03075885772705,57.36546325683594,74.6451644897461,60.903228759765625,73.80644989013672,,
34,13.142005920410156,57.29926681518555,75.29032897949219,61.6129035949707,74.7741928100586,,
35,13.003231048583984,57.114540100097656,74.83870697021484,61.03226089477539,74.06451416015625,70.41062927246094,89.08283996582031
36,12.99098300933838,57.35744857788086,74.83870697021484,61.09677505493164,73.67742156982422,,
37,12.925186157226562,56.98661804199219,75.03225708007812,60.77419662475586,72.96774291992188,,
38,12.886554718017578,57.27710723876953,75.41935729980469,61.09677505493164,73.2258071899414,,
39,12.798384666442873,57.24651718139648,75.22581481933594,61.225807189941406,73.29032135009766,,
40,12.832712173461914,57.15187454223633,75.0967788696289,60.83871078491211,73.74193572998047,71.13959503173828,90.42670440673828
41,12.80202293395996,57.07491683959961,75.0967788696289,61.16129302978516,73.54838562011719,,
42,12.892048835754396,57.21992492675781,75.0967788696289,61.225807189941406,73.54838562011719,,
43,12.773885726928713,57.219974517822266,75.16129302978516,61.03226089477539,73.29032135009766,,
44,12.779550552368164,56.999488830566406,74.96774291992188,61.16129302978516,73.41935729980469,,
45,12.902410507202148,57.14453887939453,75.16129302978516,60.903228759765625,73.03225708007812,71.50503540039062,90.13577270507812
46,12.780595779418944,57.24853897094727,75.03225708007812,61.16129302978516,73.67742156982422,,
47,12.768680572509766,57.095497131347656,74.6451644897461,60.45161437988281,73.74193572998047,,
48,12.773523330688477,57.24918365478516,75.03225708007812,60.38710021972656,73.54838562011719,,
49,12.836661338806152,,,,,,
